"","SP500","DowJones","Nasdaq","FTSE100"
"2024-09-09",5471.0498046875,40829.58984375,16884.599609375,8270.7998046875
"2024-09-10",5495.52001953125,40736.9609375,17025.880859375,8206
"2024-09-11",5554.1298828125,40861.7109375,17395.529296875,8193.900390625
"2024-09-12",5595.759765625,41096.76953125,17569.6796875,8241
"2024-09-13",5626.02001953125,41393.78125,17683.98046875,8273.099609375
"2024-09-16",5633.08984375,41622.078125,17592.130859375,8278.400390625
"2024-09-17",5634.580078125,41606.1796875,17628.060546875,8309.900390625
"2024-09-18",5618.259765625,41503.1015625,17573.30078125,8253.7001953125
"2024-09-19",5713.64013671875,42025.19140625,18013.98046875,8328.7001953125
"2024-09-20",5702.5498046875,42063.359375,17948.3203125,8230
"2024-09-23",5718.56982421875,42124.6484375,17974.26953125,8259.7001953125
"2024-09-24",5732.93017578125,42208.21875,18074.51953125,8282.7998046875
"2024-09-25",5722.259765625,41914.75,18082.2109375,8268.7001953125
"2024-09-26",5745.3701171875,42175.109375,18190.2890625,8284.900390625
"2024-09-27",5738.169921875,42313,18119.58984375,8320.7998046875
"2024-09-30",5762.47998046875,42330.1484375,18189.169921875,8237
"2024-10-01",5708.75,42156.96875,17910.359375,8276.7001953125
"2024-10-02",5709.5400390625,42196.51953125,17925.119140625,8290.900390625
"2024-10-03",5699.93994140625,42011.58984375,17918.48046875,8282.5
"2024-10-04",5751.06982421875,42352.75,18137.849609375,8280.599609375
"2024-10-07",5695.93994140625,41954.23828125,17923.900390625,8303.599609375
"2024-10-08",5751.1298828125,42080.37109375,18182.919921875,8190.60009765625
"2024-10-09",5792.0400390625,42512,18291.619140625,8243.7001953125
"2024-10-10",5780.0498046875,42454.12109375,18282.05078125,8237.7001953125
"2024-10-11",5815.02978515625,42863.859375,18342.939453125,8253.7001953125
"2024-10-14",5859.85009765625,43065.21875,18502.689453125,8292.7001953125
"2024-10-15",5815.259765625,42740.421875,18315.58984375,8249.2998046875
"2024-10-16",5842.47021484375,43077.69921875,18367.080078125,8329.099609375
"2024-10-17",5841.47021484375,43239.05078125,18373.609375,8385.099609375
"2024-10-18",5864.669921875,43275.91015625,18489.55078125,8358.2998046875
"2024-10-21",5853.97998046875,42931.6015625,18540.009765625,8318.2001953125
"2024-10-22",5851.2001953125,42924.890625,18579.76953125,8306.5
"2024-10-23",5797.419921875,42514.94921875,18276.650390625,8258.599609375
"2024-10-24",5809.85986328125,42374.359375,18415.490234375,8269.400390625
"2024-10-25",5808.1201171875,42114.3984375,18518.609375,8248.7998046875
"2024-10-28",5823.52001953125,42387.5703125,18567.189453125,8285.599609375
"2024-10-29",5832.919921875,42233.05078125,18712.75,8219.599609375
